x,y,color
-8.421453759092,-7.592473094250,blue
-11.211680299300,-7.333920529193,blue
-5.726245037204,-6.825620096582,blue
-13.720089102392,-6.084881358012,blue
-3.490057006192,-5.136929282805,blue
-15.607905659938,-4.014045241940,blue
-2.014899250792,-2.754467704677,blue
-16.620169885090,-1.401090073351,blue
-1.500000000000,0.000000000000,blue
-16.620169885090,1.401090073351,blue
-2.014899250792,2.754467704677,blue
-15.607905659938,4.014045241940,blue
-3.490057006192,5.136929282805,blue
-13.720089102392,6.084881358012,blue
-5.726245037204,6.825620096582,blue
-11.211680299300,7.333920529193,blue
-8.421453759092,7.592473094250,blue
7.844297772287,-10.547531787292,blue
12.892676924827,-9.934547578533,blue
3.089312065981,-8.744203575120,blue
17.077926699318,-7.045678243808,blue
-0.282970272565,-4.937683702965,blue
19.441256810152,-2.542728933055,blue
-1.500000000000,0.000000000000,blue
19.441256810152,2.542728933055,blue
-0.282970272565,4.937683702965,blue
17.077926699318,7.045678243808,blue
3.089312065981,8.744203575120,blue
12.892676924827,9.934547578533,blue
7.844297772287,10.547531787292,blue
-7.844297772287,-10.547531787292,yellow
-12.892676924827,-9.934547578533,yellow
-3.089312065981,-8.744203575120,yellow
-17.077926699318,-7.045678243808,yellow
0.282970272565,-4.937683702965,yellow
-19.441256810152,-2.542728933055,yellow
1.500000000000,0.000000000000,yellow
-19.441256810152,2.542728933055,yellow
0.282970272565,4.937683702965,yellow
-17.077926699318,7.045678243808,yellow
-3.089312065981,8.744203575120,yellow
-12.892676924827,9.934547578533,yellow
-7.844297772287,10.547531787292,yellow
8.421453759092,-7.592473094250,yellow
11.211680299300,-7.333920529193,yellow
5.726245037204,-6.825620096582,yellow
13.720089102392,-6.084881358012,yellow
3.490057006192,-5.136929282805,yellow
15.607905659938,-4.014045241940,yellow
2.014899250792,-2.754467704677,yellow
16.620169885090,-1.401090073351,yellow
1.500000000000,0.000000000000,yellow
16.620169885090,1.401090073351,yellow
2.014899250792,2.754467704677,yellow
15.607905659938,4.014045241940,yellow
3.490057006192,5.136929282805,yellow
13.720089102392,6.084881358012,yellow
5.726245037204,6.825620096582,yellow
11.211680299300,7.333920529193,yellow
8.421453759092,7.592473094250,yellow
-1.500000000000,-15.000000000000,orange
-1.500000000000,-10.000000000000,orange
-1.500000000000,-5.000000000000,orange
-1.500000000000,5.000000000000,orange
-1.500000000000,10.000000000000,orange
-1.500000000000,15.000000000000,orange
-1.500000000000,20.000000000000,orange
-1.500000000000,25.000000000000,orange
1.500000000000,-15.000000000000,orange
1.500000000000,-10.000000000000,orange
1.500000000000,-5.000000000000,orange
1.500000000000,5.000000000000,orange
1.500000000000,10.000000000000,orange
1.500000000000,15.000000000000,orange
1.500000000000,20.000000000000,orange
1.500000000000,25.000000000000,orange
-2.250000000000,-0.800000000000,orange
2.250000000000,-0.800000000000,orange
-2.250000000000,0.800000000000,orange
2.250000000000,0.800000000000,orange
